"","RECORDING_SESSION_LABEL","sentence","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREA_INDEX","CURRENT_FIX_INTEREST_AREA_RUN_ID","CURRENT_FIX_X"
"577","cl",97,"5","4","1","398.3"
"578","cl",98,"7","4","1","429.9"
"579","cl",99,"5","3","1","396.4"
"580","cl",100,"6","3","1","443.5"
"581","cl",101,"5","3","1","331.1"
"582","cl",102,"5","4","1","364.3"
"583","cl",103,"7","3","1","408.3"
"584","cl",104,"2","4","1","558.4"
"585","cl",105,"7","3","1","351.7"
"586","cl",106,"9","4","1","556.1"
"587","cl",107,"8","4","1","423.7"
"588","cl",108,"7","4","1","579.6"
"589","cl",109,"6","4","1","429.7"
"590","cl",110,"5","3","1","390.4"
"591","cl",111,"6","3","1","432.5"
"592","cl",112,"8","3","1","510.6"
"593","cl",113,"7","3","1","430.2"
"594","cl",114,"6","3","1","449.9"
"595","cl",115,"7","3","1","501.8"
"596","cl",116,"5","3","1","296.9"
"597","cl",117,"6","4","1","426.4"
"598","cl",118,"10","3","1","392.3"
"599","cl",119,"7","3","1","478.6"
"600","cl",120,"5","3","1","368.2"
"601","cuiyf",1,"3","3","1","436.5"
"602","cuiyf",2,"3","4","1","501.1"
"603","cuiyf",3,"3","4","1","396.9"
"604","cuiyf",4,"3","3","1","322"
"605","cuiyf",5,"6","4","1","557.3"
"606","cuiyf",6,"3","4","1","502.8"
"607","cuiyf",7,"3","4","1","389.4"
"608","cuiyf",8,"4","3","1","407.6"
"609","cuiyf",9,"4","4","1","538.4"
"610","cuiyf",10,"4","4","1","423.3"
"611","cuiyf",11,"4","3","1","408.5"
"612","cuiyf",12,"3","3","1","331.7"
"613","cuiyf",13,"4","3","1","511.3"
"614","cuiyf",14,"3","4","1","388.9"
"615","cuiyf",15,"4","4","1","565.8"
"616","cuiyf",16,"4","3","1","484.2"
"617","cuiyf",17,"4","3","1","494.3"
"618","cuiyf",18,"5","4","1","631.3"
"619","cuiyf",19,"4","4","1","350.2"
"620","cuiyf",20,"4","4","1","457.4"
"621","cuiyf",21,"4","4","1","441.8"
"622","cuiyf",22,"4","4","1","553.9"
"623","cuiyf",23,"5","4","1","437.5"
"624","cuiyf",24,"5","4","1","540.2"
"625","cuiyf",25,"4","4","1","439"
"626","cuiyf",26,"5","4","1","526.2"
"627","cuiyf",27,"4","4","1","496.2"
"628","cuiyf",28,"3","4","1","404.8"
"629","cuiyf",29,"4","4","1","433.2"
"630","cuiyf",30,"3","4","1","355.6"
"631","cuiyf",31,"2","3","1","292.9"
"632","cuiyf",32,"4","3","1","589.6"
"633","cuiyf",33,"5","4","1","466.8"
"634","cuiyf",34,"4","3","1","568.8"
"635","cuiyf",35,"4","4","1","394.5"
"636","cuiyf",36,"4","4","1","487.4"
"637","cuiyf",37,"5","4","1","526.4"
"638","cuiyf",38,"5","4","1","501.2"
"639","cuiyf",39,"3","4","1","386.9"
"640","cuiyf",40,"4","4","1","479.5"
"641","cuiyf",41,"6","3","1","484"
"642","cuiyf",42,"6","3","1","547.3"
"643","cuiyf",43,"5","4","1","438.5"
"644","cuiyf",44,"4","4","1","395.1"
"645","cuiyf",45,"4","3","1","478.3"
"646","cuiyf",46,"5","3","1","547.8"
"647","cuiyf",47,"5","4","1","442.4"
"648","cuiyf",48,"5","4","1","539.5"
